SCHID,PUBLIC,TCSHORT,STRATIO,STIDSTD,FEMALE,LANGATHOME,PARED,HOMEPOS,IMMIG,PV1MATH,CYCLE
17,1,-0.7828,100,84000131,0,1,16,-0.7865,1,296.458,1
17,1,-0.7828,100,84003354,0,1,16,-0.6778,1,365.605,1
17,1,-0.7828,100,84008492,0,0,12,0.8683,0,458.312,1
17,1,-0.7828,100,84001436,1,1,16,0.314,1,493.976,1
17,1,-0.7828,100,84007855,1,0,12,0.2726,0,523.74,1
17,1,-0.7828,100,84001592,0,1,16,0.567,1,470.95,1
17,1,-0.7828,100,84004378,1,1,9,0.4052,0,424.6,1
17,1,-0.7828,100,84000217,1,0,9,-0.366,0,317.391,1
17,1,-0.7828,100,84006255,0,1,14,0.8088,0,592.031,1
17,1,-0.7828,100,84006457,1,1,14,-1.8576,1,382.37,1
17,1,-0.7828,100,84001606,1,1,12,-0.4135,1,341.818,1
17,1,-0.7828,100,84003328,1,0,9,0.3936,0,428.153,1
17,1,-0.7828,100,84001640,0,1,16,-0.3808,0,484.452,1
17,1,-0.7828,100,84006675,0,1,16,0.3541,0,675.537,1
17,1,-0.7828,100,84002172,0,1,16,-0.1256,0,358.908,1
17,1,-0.7828,100,84002487,0,1,16,0.5753,1,523.006,1
17,1,-0.7828,100,84007787,0,0,16,-0.629,0,392.626,1
17,1,-0.7828,100,84004602,0,1,16,0.5555,1,419.41,1
17,1,-0.7828,100,84003818,0,0,12,-1.5316,0,536.99,1
17,1,-0.7828,100,84006989,0,1,16,0.3842,1,425.61,1
14,1,-1.4551,56.3375,84005749,1,1,16,0.831,0,534.579,1
14,1,-1.4551,56.3375,84004355,1,1,16,-0.4182,0,545.833,1
14,1,-1.4551,56.3375,84007285,1,1,16,1.5443,1,593.553,1
14,1,-1.4551,56.3375,84000698,0,1,16,-0.4378,0,621.029,1
14,1,-1.4551,56.3375,84005575,1,0,16,-0.9036,0,478.354,1
14,1,-1.4551,56.3375,84003367,0,1,12,-1.3993,1,548.709,1
14,1,-1.4551,56.3375,84007642,0,1,16,2.8086,0,568.11,1
14,1,-1.4551,56.3375,84005740,0,1,16,1.0894,0,629.434,1
14,1,-1.4551,56.3375,84004706,1,1,16,0.8713,1,557.254,1
14,1,-1.4551,56.3375,84007950,0,1,16,1.137,0,484.744,1
14,1,-1.4551,56.3375,84004588,1,0,16,0.3602,0,493.658,1
14,1,-1.4551,56.3375,84003923,0,1,16,-0.3895,1,482.668,1
14,1,-1.4551,56.3375,84004721,1,1,16,-0.5071,0,514.008,1
14,1,-1.4551,56.3375,84005638,1,0,12,-2.8815,0,365.263,1
14,1,-1.4551,56.3375,84008313,0,1,14,0.1832,0,639.71,1
14,1,-1.4551,56.3375,84000527,0,1,16,-0.154,0,544.385,1
14,1,-1.4551,56.3375,84007489,0,1,16,2.0274,1,594.301,1
14,1,-1.4551,56.3375,84002515,0,0,16,0.791,0,634.495,1
14,1,-1.4551,56.3375,84003153,1,0,16,0.7773,0,520.007,1
14,1,-1.4551,56.3375,84007265,0,0,12,0.8226,0,552.025,1
9,1,-1.4551,18.4298,84002512,0,1,16,0.9557,1,543.986,1
9,1,-1.4551,18.4298,84002713,0,1,16,1.1793,1,504.108,1
9,1,-1.4551,18.4298,84002708,1,1,14,0.6579,1,463.747,1
9,1,-1.4551,18.4298,84001873,1,1,16,4.0071,1,630.319,1
9,1,-1.4551,18.4298,84001270,0,1,16,0.6563,1,481.543,1
9,1,-1.4551,18.4298,84004382,0,1,16,2.2198,1,679.601,1
9,1,-1.4551,18.4298,84001284,0,1,14,1.3003,1,453.394,1
9,1,-1.4551,18.4298,84008463,0,1,16,0.0867,1,454.214,1
9,1,-1.4551,18.4298,84007710,0,1,16,0.2557,1,519.458,1
9,1,-1.4551,18.4298,84008023,0,1,14,-0.3402,1,578.658,1
9,1,-1.4551,18.4298,84005898,0,1,16,0.3618,1,420.981,1
9,1,-1.4551,18.4298,84004495,0,1,16,-1.8772,1,279.084,1
9,1,-1.4551,18.4298,84007189,1,1,12,-0.5102,1,481.334,1
9,1,-1.4551,18.4298,84005755,1,1,16,0.1958,1,540.857,1
9,1,-1.4551,18.4298,84004017,1,1,6,-1.7447,1,480.774,1
9,1,-1.4551,18.4298,84007706,1,1,16,-0.5478,1,420.468,1
9,1,-1.4551,18.4298,84001346,0,1,12,-0.4156,1,539.596,1
9,1,-1.4551,18.4298,84004428,1,1,16,0.78,1,471.499,1
9,1,-1.4551,18.4298,84008425,0,1,12,-0.6157,1,303.027,1
9,1,-1.4551,18.4298,84003126,1,1,16,0.5647,1,458.595,1
23,1,2.0096,16.4978,84006218,0,1,12,0.3775,1,525.099,1
23,1,2.0096,16.4978,84006586,1,1,16,1.1361,1,437.954,1
23,1,2.0096,16.4978,84008000,0,1,14,1.7811,1,590.854,1
23,1,2.0096,16.4978,84000666,0,1,16,0.2321,1,557.134,1
23,1,2.0096,16.4978,84002833,0,1,16,2.112,1,628.206,1
23,1,2.0096,16.4978,84001597,1,1,14,-0.2274,1,504.862,1
23,1,2.0096,16.4978,84003347,1,1,12,-2.0406,1,405.09,1
23,1,2.0096,16.4978,84002669,0,0,16,1.0202,0,524.424,1
23,1,2.0096,16.4978,84007737,1,1,16,1.4487,1,618,1
23,1,2.0096,16.4978,84001048,0,1,16,0.1066,1,540.024,1
23,1,2.0096,16.4978,84001253,1,1,16,1.9757,1,591.211,1
23,1,2.0096,16.4978,84001333,1,1,16,1.1306,1,609.444,1
23,1,2.0096,16.4978,84002234,0,1,16,0.4866,1,524.597,1
23,1,2.0096,16.4978,84006082,0,1,9,0.4851,1,443.246,1
23,1,2.0096,16.4978,84002884,1,1,16,1.6701,1,590.082,1
23,1,2.0096,16.4978,84007673,1,1,16,0.8062,0,651.475,1
23,1,2.0096,16.4978,84002791,0,1,16,1.406,1,622.323,1
23,1,2.0096,16.4978,84004731,0,1,16,1.0635,1,514.673,1
23,1,2.0096,16.4978,84003886,1,1,16,5.3188,1,495.158,1
23,1,2.0096,16.4978,84001400,1,1,16,0.9977,1,646.536,1
13,1,0.8242,8,84002685,1,1,12,-0.4045,1,537.155,1
13,1,0.8242,8,84000410,1,1,12,0.3624,1,564.955,1
13,1,0.8242,8,84000009,1,1,16,0.7143,1,590.887,1
