"SCHID","PUBLIC","TCSHORT","STRATIO","STIDSTD","FEMALE","LANGATHOME","PARED","HOMEPOS","IMMIG","PV1MATH","CYCLE"
15,1,-1.4551,16.8724,84001527,1,1,16,0.5608,1,539.908,1
22,1,0.5854,5.4615,84004197,0,1,16,-1.6626,1,265.038,1
11,1,0.592,24,84002694,1,1,12,2.6202,1,550.849,1
8,1,0.592,3.8387,84004856,0,1,14,1.451,1,377.347,1
2,1,1.0953,14.4388,84008479,0,1,14,-2.1176,1,416.562,1
6,1,1.75,21.2632,84004834,0,1,14,0.4901,1,449.864,1
10,1,-0.614,12.5827,84003360,1,1,16,0.8995,1,466.593,1
23,1,2.0096,16.4978,84002234,0,1,16,0.4866,1,524.597,1
15,1,-1.4551,16.8724,84005506,0,1,16,0.0287,1,572.704,1
10,1,-0.614,12.5827,84007923,0,1,14,0.9114,1,526.095,1
2,1,1.0953,14.4388,84002481,0,1,16,-0.0237,1,628.726,1
25,1,-0.7828,10.782,84007465,0,1,16,0.6449,1,496.943,1
13,1,0.8242,8,84005959,1,1,16,1.6618,1,531.766,1
5,1,-0.0097,10.9314,84001383,0,1,16,-0.4606,1,552.225,1
11,1,0.592,24,84006124,1,1,12,-2.135,1,430.327,1
3,1,0.2633,16.001,84007759,0,1,12,0.1749,0,466.621,1
19,1,-0.0963,13.8778,84001303,1,1,16,1.3925,1,515.732,1
25,1,-0.7828,10.782,84000548,0,1,16,1.1348,1,567.275,1
10,1,-0.614,12.5827,84001747,1,1,12,-2.2966,1,377.717,1
24,1,-1.4551,44,84003749,1,1,14,-2.6302,1,519.58,1
4,1,-1.4551,24.9851,84000312,0,1,16,0.5982,0,628.061,1
24,1,-1.4551,44,84003428,0,1,12,-0.0953,1,468.361,1
24,1,-1.4551,44,84004370,1,1,14,-0.8777,1,505.058,1
20,1,1.5435,14.6471,84003169,1,1,9,-2.4406,1,286.116,1
5,1,-0.0097,10.9314,84006877,0,1,12,-0.6944,1,563.235,1
2,1,1.0953,14.4388,84000809,1,1,14,0.2824,1,393.366,1
16,1,0.6736,14.62,84006660,1,1,16,2.0909,1,502.612,1
23,1,2.0096,16.4978,84002791,0,1,16,1.406,1,622.323,1
20,1,1.5435,14.6471,84002591,0,1,16,0.9604,1,453.471,1
3,1,0.2633,16.001,84002673,1,1,12,0.0529,1,518.396,1
25,1,-0.7828,10.782,84000990,0,1,16,1.8978,1,595.712,1
20,1,1.5435,14.6471,84007483,0,1,12,-0.932,1,452.465,1
6,1,1.75,21.2632,84002628,1,1,12,-0.1795,1,364.339,1
24,1,-1.4551,44,84005813,1,1,16,0.311,1,531.919,1
23,1,2.0096,16.4978,84002669,0,0,16,1.0202,0,524.424,1
23,1,2.0096,16.4978,84003347,1,1,12,-2.0406,1,405.09,1
16,1,0.6736,14.62,84005211,0,1,9,-1.6544,1,415.666,1
19,1,-0.0963,13.8778,84007031,1,1,16,-0.0274,1,536.97,1
10,1,-0.614,12.5827,84006007,1,1,14,-2.2002,1,418.617,1
10,1,-0.614,12.5827,84000646,0,1,12,-1.651,1,446.593,1
9,1,-1.4551,18.4298,84001346,0,1,12,-0.4156,1,539.596,1
12,1,0.1893,10.5405,84000093,1,1,16,0.017,1,487.139,1
13,1,0.8242,8,84005594,1,1,16,0.7335,1,456.855,1
1,1,0.8307,4,84007677,1,1,12,0.0893,1,523.436,1
18,1,-1.4551,22.5556,84002524,0,1,12,2.8764,0,657.38,1
22,1,0.5854,5.4615,84005646,0,1,16,1.4957,1,487.426,1
19,1,-0.0963,13.8778,84000964,0,1,16,-0.4632,1,557.582,1
13,1,0.8242,8,84000660,1,1,16,0.9171,1,609.432,1
3,1,0.2633,16.001,84007617,0,0,16,-0.871,1,319.465,1
15,1,-1.4551,16.8724,84007372,1,1,12,-0.0614,1,481.028,1
23,1,2.0096,16.4978,84001253,1,1,16,1.9757,1,591.211,1
1,1,0.8307,4,84006420,1,1,12,-1.4933,1,284.676,1
22,1,0.5854,5.4615,84001658,0,1,9,-0.3423,1,415.232,1
20,1,1.5435,14.6471,84002192,0,1,16,-0.3427,1,361.175,1
5,1,-0.0097,10.9314,84004188,1,1,16,0.6263,1,629.103,1
19,1,-0.0963,13.8778,84004956,1,1,16,0.3554,1,536.969,1
5,1,-0.0097,10.9314,84006437,0,1,16,-0.2208,1,485.564,1
20,1,1.5435,14.6471,84006224,1,1,12,-0.1802,1,457.183,1
15,1,-1.4551,16.8724,84004279,0,1,16,1.6994,1,501.314,1
16,1,0.6736,14.62,84003130,0,1,12,0.0654,1,563.627,1
19,1,-0.0963,13.8778,84006439,0,1,16,-1.3255,1,468.762,1
22,1,0.5854,5.4615,84005963,0,1,12,0.9931,1,269.842,1
7,1,0.6045,13.1818,84002092,0,1,16,2.3392,1,532.652,1
9,1,-1.4551,18.4298,84007189,1,1,12,-0.5102,1,481.334,1
3,1,0.2633,16.001,84000416,1,1,14,-0.113,0,519.176,1
13,1,0.8242,8,84003613,1,1,16,3.0109,1,552.856,1
24,1,-1.4551,44,84004121,0,1,14,-2.5181,1,432.954,1
5,1,-0.0097,10.9314,84000857,0,1,16,2.0554,1,678.948,1
21,1,-1.4551,11.2222,84003318,0,1,16,2.0423,1,476.547,1
6,1,1.75,21.2632,84000450,1,1,12,-0.7871,1,326.845,1
4,1,-1.4551,24.9851,84003815,0,1,12,-0.766,1,541.56,1
17,1,-0.7828,100,84006255,0,1,14,0.8088,0,592.031,1
19,1,-0.0963,13.8778,84004239,0,0,12,0.8857,0,479.07,1
22,1,0.5854,5.4615,84000860,0,1,12,-0.9273,1,310.593,1
20,1,1.5435,14.6471,84000104,0,1,16,-0.0261,1,441.922,1
6,1,1.75,21.2632,84003042,0,1,12,-1.1129,1,465.102,1
25,1,-0.7828,10.782,84001241,0,1,14,-1.0025,1,408.79,1
24,1,-1.4551,44,84004413,0,1,16,-1.1836,1,383.24,1
5,1,-0.0097,10.9314,84006841,1,1,16,-0.7098,1,542.729,1
12,1,0.1893,10.5405,84000169,1,1,16,0.7383,1,526.684,1
17,1,-0.7828,100,84007787,0,0,16,-0.629,0,392.626,1
17,1,-0.7828,100,84000131,0,1,16,-0.7865,1,296.458,1
14,1,-1.4551,56.3375,84005575,1,0,16,-0.9036,0,478.354,1
19,1,-0.0963,13.8778,84000354,0,1,16,-1.4353,1,428.76,1
15,1,-1.4551,16.8724,84006393,1,1,14,0.4269,1,530.967,1
12,1,0.1893,10.5405,84008566,1,1,16,-0.0497,1,390.92,1
