"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
84000155,1,0.21,17.3182,84002926,0,1,12,-0.4015,1,439.491,1
84000155,1,0.21,17.3182,84007825,1,1,12,-0.977,1,512.991,1
84000155,1,0.21,17.3182,84008618,1,1,12,-0.7311,1,437.646,1
84000155,1,0.21,17.3182,84000151,1,1,16,1.3819,1,521.227,1
84000155,1,0.21,17.3182,84005563,0,1,12,1.9049,1,550.566,1
84000155,1,0.21,17.3182,84008531,0,1,16,-0.1554,1,518.103,1
84000155,1,0.21,17.3182,84001435,1,1,12,-0.8552,1,450.838,1
84000155,1,0.21,17.3182,84001468,1,1,12,0.1388,1,458.588,1
84000155,1,0.21,17.3182,84001948,1,1,16,0.8878,1,538.343,1
84000155,1,0.21,17.3182,84003703,1,1,12,-0.3689,1,448.948,1
84000056,1,-0.3265,13.7197,84002962,0,1,16,0.73,1,482.658,1
84000056,1,-0.3265,13.7197,84002836,1,1,14,-0.87,1,411.381,1
84000056,1,-0.3265,13.7197,84002378,1,1,16,2.0348,1,519.822,1
84000056,1,-0.3265,13.7197,84001037,1,1,12,-0.1613,1,327.067,1
84000056,1,-0.3265,13.7197,84004476,0,1,12,0.0985,1,462.136,1
84000056,1,-0.3265,13.7197,84006702,1,1,14,-0.3463,1,395.504,1
84000056,1,-0.3265,13.7197,84007795,1,1,12,-1.1059,1,366.24,1
84000056,1,-0.3265,13.7197,84000842,0,1,12,0.7472,1,523.959,1
84000056,1,-0.3265,13.7197,84002993,1,1,16,-0.3047,1,519.975,1
84000056,1,-0.3265,13.7197,84001233,0,1,16,-1.0545,1,488.482,1
84000166,1,-1.4551,4.2326,84000639,1,1,16,0.107,1,467.875,1
84000166,1,-1.4551,4.2326,84002038,0,1,12,-0.3708,1,393.333,1
84000166,1,-1.4551,4.2326,84002364,0,1,16,-0.796,1,521.123,1
84000166,1,-1.4551,4.2326,84001999,1,1,12,0.2882,1,547.534,1
84000166,1,-1.4551,4.2326,84008197,1,1,16,-0.355,1,552.552,1
84000166,1,-1.4551,4.2326,84004090,1,1,16,0.3202,1,542.41,1
