"","schid","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
"1",9,1,-1.4551,18.4298,84005755,1,1,16,0.1958,1,540.857,1
"2",9,1,-1.4551,18.4298,84001346,0,1,12,-0.4156,1,539.596,1
"3",9,1,-1.4551,18.4298,84007543,1,1,16,-0.4289,1,448.394,1
"4",9,1,-1.4551,18.4298,84007189,1,1,12,-0.5102,1,481.334,1
"5",9,1,-1.4551,18.4298,84001873,1,1,16,4.0071,1,630.319,1
"6",9,1,-1.4551,18.4298,84002215,1,1,16,-0.5625,1,457.594,1
"7",9,1,-1.4551,18.4298,84000055,0,1,14,0.4856,1,591.659,1
"8",9,1,-1.4551,18.4298,84008425,0,1,12,-0.6157,1,303.027,1
"9",9,1,-1.4551,18.4298,84004399,1,1,16,1.3448,0,496.126,1
"10",9,1,-1.4551,18.4298,84005877,0,1,16,0.6031,1,499.141,1
"11",9,1,-1.4551,18.4298,84004382,0,1,16,2.2198,1,679.601,1
"12",9,1,-1.4551,18.4298,84003126,1,1,16,0.5647,1,458.595,1
"13",9,1,-1.4551,18.4298,84005248,0,1,12,-0.054,1,594.17,1
"14",9,1,-1.4551,18.4298,84004495,0,1,16,-1.8772,1,279.084,1
"15",9,1,-1.4551,18.4298,84002512,0,1,16,0.9557,1,543.986,1
"16",9,1,-1.4551,18.4298,84004017,1,1,6,-1.7447,1,480.774,1
"17",9,1,-1.4551,18.4298,84008463,0,1,16,0.0867,1,454.214,1
"18",9,1,-1.4551,18.4298,84001284,0,1,14,1.3003,1,453.394,1
"19",9,1,-1.4551,18.4298,84005898,0,1,16,0.3618,1,420.981,1
"20",9,1,-1.4551,18.4298,84002713,0,1,16,1.1793,1,504.108,1
"21",22,1,0.6736,22.3054,84001497,1,1,16,0.5654,1,482.614,1
"22",22,1,0.6736,22.3054,84007379,1,1,16,0.4721,1,489.768,1
"23",22,1,0.6736,22.3054,84007530,1,1,12,0.7253,1,613.649,1
"24",22,1,0.6736,22.3054,84003135,0,1,16,1.0596,1,630.984,1
"25",22,1,0.6736,22.3054,84007443,1,1,14,-0.1976,1,365.079,1
"26",22,1,0.6736,22.3054,84003290,0,1,16,0.5279,1,553.742,1
"27",22,1,0.6736,22.3054,84005581,1,1,12,-1.3748,1,357.85,1
"28",22,1,0.6736,22.3054,84000895,0,1,16,2.0735,1,351.351,1
"29",22,1,0.6736,22.3054,84008359,0,1,16,5.3188,1,396.944,1
"30",22,1,0.6736,22.3054,84004961,0,0,16,-0.4528,0,574.239,1
"31",22,1,0.6736,22.3054,84005204,1,1,16,0.1087,1,480.846,1
"32",22,1,0.6736,22.3054,84004302,1,1,16,-0.0023,1,478.633,1
"33",22,1,0.6736,22.3054,84004305,0,1,16,1.2419,1,453.65,1
"34",22,1,0.6736,22.3054,84004587,1,1,9,-1.7345,1,459.49,1
"35",22,1,0.6736,22.3054,84000276,0,0,9,-1.0324,0,439.245,1
"36",22,1,0.6736,22.3054,84003884,0,1,16,-0.7266,1,297.982,1
"37",22,1,0.6736,22.3054,84004342,1,1,16,1.4611,1,456.035,1
"38",22,1,0.6736,22.3054,84006103,1,1,16,-0.6225,1,614.564,1
"39",22,1,0.6736,22.3054,84007678,1,1,9,-1.3394,1,406.971,1
"40",22,1,0.6736,22.3054,84003424,0,1,16,1.0075,1,500.664,1
"41",1,1,0.8307,4,84002931,0,1,12,-1.3088,1,343.255,1
"42",1,1,0.8307,4,84003985,1,1,16,0.503,1,702.416,1
"43",1,1,0.8307,4,84004633,0,1,16,-0.6939,1,542.92,1
"44",1,1,0.8307,4,84003259,0,1,14,-0.4269,1,564.607,1
"45",1,1,0.8307,4,84002916,1,1,16,0.4546,1,456.49,1
"46",1,1,0.8307,4,84007677,1,1,12,0.0893,1,523.436,1
"47",1,1,0.8307,4,84007979,0,1,16,0.9572,1,393.741,1
"48",1,1,0.8307,4,84000536,0,1,12,-0.5057,1,442.603,1
"49",1,1,0.8307,4,84000353,0,1,16,-0.5709,1,442.575,1
"50",1,1,0.8307,4,84005420,1,1,12,0.5669,1,459.532,1
"51",1,1,0.8307,4,84006420,1,1,12,-1.4933,1,284.676,1
"52",1,1,0.8307,4,84002584,0,1,16,-0.5785,1,339.221,1
"53",1,1,0.8307,4,84008420,0,1,14,-1.8476,1,561.652,1
"54",1,1,0.8307,4,84001624,0,1,12,-0.5015,1,443.274,1
"55",1,1,0.8307,4,84002531,1,1,14,-0.4736,1,488.145,1
"56",1,1,0.8307,4,84001240,0,1,16,0.5023,1,489.73,1
"57",1,1,0.8307,4,84000304,1,1,12,-2.2036,1,384.319,1
"58",1,1,0.8307,4,84003351,0,1,16,-0.8302,1,604.471,1
"59",1,1,0.8307,4,84003965,1,1,16,0.3779,1,595.642,1
"60",1,1,0.8307,4,84001714,1,1,12,0.029,1,407.973,1
"61",7,1,-0.3265,13.7197,84000357,0,1,16,-0.8391,1,584.082,1
"62",7,1,-0.3265,13.7197,84003035,1,1,12,-1.2929,1,496.256,1
"63",7,1,-0.3265,13.7197,84002993,1,1,16,-0.3047,1,519.975,1
"64",7,1,-0.3265,13.7197,84007728,0,1,16,-1.0287,1,524.34,1
"65",7,1,-0.3265,13.7197,84007278,0,1,16,2.114,1,442.443,1
"66",7,1,-0.3265,13.7197,84000842,0,1,12,0.7472,1,523.959,1
"67",7,1,-0.3265,13.7197,84002836,1,1,14,-0.87,1,411.381,1
"68",7,1,-0.3265,13.7197,84006702,1,1,14,-0.3463,1,395.504,1
"69",7,1,-0.3265,13.7197,84005919,0,1,12,0.7284,1,539.066,1
"70",7,1,-0.3265,13.7197,84001954,0,1,12,-1.2406,1,347.724,1
"71",7,1,-0.3265,13.7197,84002962,0,1,16,0.73,1,482.658,1
"72",7,1,-0.3265,13.7197,84001472,0,1,12,-0.3313,1,444.333,1
"73",7,1,-0.3265,13.7197,84006433,1,1,16,1.2034,1,458.425,1
"74",7,1,-0.3265,13.7197,84001257,0,1,9,-0.9311,1,429.358,1
"75",7,1,-0.3265,13.7197,84004476,0,1,12,0.0985,1,462.136,1
"76",7,1,-0.3265,13.7197,84007795,1,1,12,-1.1059,1,366.24,1
"77",7,1,-0.3265,13.7197,84001037,1,1,12,-0.1613,1,327.067,1
"78",7,1,-0.3265,13.7197,84004334,1,1,16,0.5133,1,454.44,1
"79",7,1,-0.3265,13.7197,84007671,0,1,14,0.0827,1,473.595,1
"80",7,1,-0.3265,13.7197,84001733,1,0,9,0.5189,0,526.632,1
"81",2,1,0.2633,16.001,84008086,0,1,14,0.2366,1,479.993,1
"82",2,1,0.2633,16.001,84007458,0,1,12,-1.099,1,380.955,1
"83",2,1,0.2633,16.001,84005029,1,0,14,-0.4121,1,434.057,1
"84",2,1,0.2633,16.001,84001054,0,1,12,-1.3163,1,491.062,1
"85",2,1,0.2633,16.001,84000511,0,1,12,-0.0978,1,370.725,1
"86",2,1,0.2633,16.001,84001594,1,1,16,-1.7264,0,448.596,1
"87",2,1,0.2633,16.001,84004888,0,1,12,-1.2344,1,404.463,1
"88",2,1,0.2633,16.001,84000416,1,1,14,-0.113,0,519.176,1
"89",2,1,0.2633,16.001,84001541,0,1,12,-0.2576,0,547.563,1
"90",2,1,0.2633,16.001,84006339,1,1,12,-0.9882,1,474.871,1
"91",2,1,0.2633,16.001,84003914,0,1,12,-0.6147,1,485.95,1
"92",2,1,0.2633,16.001,84003530,0,1,16,-1.9074,1,397.926,1
"93",2,1,0.2633,16.001,84007617,0,0,16,-0.871,1,319.465,1
