ChildID,SchoolId,Male,Race,SES,FLunch,Age,cycle,time,y,id,sid
10000010,1700,1,Hispanic,-1.5,82,68.83,1,0,40.9315,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,1,45.8772,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,2,53.464,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,3,62.6348,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,4,66.0253,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,5,79.3635,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,7,95.9549,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,9,112.3936,316,37
10000010,1700,1,Hispanic,-1.5,82,68.83,1,11,104.6828,316,37
10000043,1679,0,Hispanic,-0.109,82,66.17,1,0,45.6749,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,1,66.264,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,2,71.5364,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,3,93.1263,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,4,91.6847,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,5,107.825,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,7,119.9701,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,9,128.2478,296,35
10000043,1679,0,Hispanic,-0.109,82,66.17,1,11,139.5196,296,35
10000046,2006,1,White,0.9014,100,70.9,1,0,60.1569,505,61
10000046,2006,1,White,0.9014,100,70.9,1,1,71.5364,505,61
10000046,2006,1,White,0.9014,100,70.9,1,2,74.9651,505,61
10000046,2006,1,White,0.9014,100,70.9,1,3,93.9367,505,61
10000046,2006,1,White,0.9014,100,70.9,1,4,102.3707,505,61
10000046,2006,1,White,0.9014,100,70.9,1,5,97.02,505,61
10000046,2006,1,White,0.9014,100,70.9,1,7,122.0976,505,61
10000046,2006,1,White,0.9014,100,70.9,1,9,124.7847,505,61
